Sample in Buffer,Sample in Window,TRIGGER,design_1_i/fulltopHDC_0/U0/HDCOTFGEn/BV[999:900],design_1_i/fulltopHDC_0/U0/HDCOTFGEn/cls/CST/hv[2:0],design_1_i/fulltopHDC_0/U0/HDCOTFGEn/cls/CST/countSimArr[0].comp/compArr[1].comp/class[127:0],design_1_i/fulltopHDC_0/U0/HDCOTFGEn/cls/CST/countSimArr[0].comp/compArr[1].comp/hv[0:0],design_1_i/fulltopHDC_0/U0/HDCOTFGEn/QHV[335:0],design_1_i/fulltopHDC_0/U0/HDCOTFGEn/doneEncoderToClassifier
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
81,81,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
82,82,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
83,83,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
84,84,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
85,85,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
86,86,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
87,87,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
88,88,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
89,89,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
90,90,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
91,91,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
92,92,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
93,93,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
94,94,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
95,95,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
96,96,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
97,97,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
98,98,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
99,99,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
100,100,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
101,101,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
102,102,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
103,103,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
104,104,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
105,105,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
106,106,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
107,107,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
108,108,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
109,109,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
110,110,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
111,111,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
112,112,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
113,113,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
114,114,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
115,115,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
116,116,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
117,117,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
118,118,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
119,119,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
120,120,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
121,121,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
122,122,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
123,123,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
124,124,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
125,125,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
126,126,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
127,127,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
128,128,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
129,129,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
130,130,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
131,131,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
132,132,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
133,133,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
134,134,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
135,135,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
136,136,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
137,137,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
138,138,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
139,139,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
140,140,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
141,141,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
142,142,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
143,143,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
144,144,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
145,145,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
146,146,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
147,147,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
148,148,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
149,149,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
150,150,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
151,151,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
152,152,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
153,153,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
154,154,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
155,155,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
156,156,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
157,157,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
158,158,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
